sentenceId,raw_text,aspectTerms,aspectCategories
28,"The crowdedness is poorly maintained, making the availability experience frustrating.","[{'term': 'crowdedness', 'polarity': 'negative'}]","[{'category': 'availability', 'polarity': 'negative'}]"
29,"The gym atmosphere is okay, neither too good nor too bad in terms of environment.","[{'term': 'gym atmosphere', 'polarity': 'neutral'}]","[{'category': 'environment', 'polarity': 'neutral'}]"
30,"The hidden fees at this gym is excellent, providing great pricing for everyone.","[{'term': 'hidden fees', 'polarity': 'positive'}]","[{'category': 'pricing', 'polarity': 'positive'}]"
31,"The crowdedness at this gym is excellent, providing great availability for everyone.","[{'term': 'crowdedness', 'polarity': 'positive'}]","[{'category': 'availability', 'polarity': 'positive'}]"
32,"The equipment hygiene is poorly maintained, making the cleanliness experience frustrating.","[{'term': 'equipment hygiene', 'polarity': 'negative'}]","[{'category': 'cleanliness', 'polarity': 'negative'}]"
33,"The personal trainers is okay, neither too good nor too bad in terms of service.","[{'term': 'personal trainers', 'polarity': 'neutral'}]","[{'category': 'service', 'polarity': 'neutral'}]"
34,"The lighting is poorly maintained, making the environment experience frustrating.","[{'term': 'lighting', 'polarity': 'negative'}]","[{'category': 'environment', 'polarity': 'negative'}]"
35,"The benches at this gym is excellent, providing great equipment for everyone.","[{'term': 'benches', 'polarity': 'positive'}]","[{'category': 'equipment', 'polarity': 'positive'}]"
36,"The trainers is poorly maintained, making the service experience frustrating.","[{'term': 'trainers', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'negative'}]"
37,"The air conditioning at this gym is excellent, providing great facilities for everyone.","[{'term': 'air conditioning', 'polarity': 'positive'}]","[{'category': 'facilities', 'polarity': 'positive'}]"
38,"The staff at this gym is excellent, providing great service for everyone.","[{'term': 'staff', 'polarity': 'positive'}]","[{'category': 'service', 'polarity': 'positive'}]"
39,"The membership cost is okay, neither too good nor too bad in terms of pricing.","[{'term': 'membership cost', 'polarity': 'neutral'}]","[{'category': 'pricing', 'polarity': 'neutral'}]"
40,"The locker rooms is okay, neither too good nor too bad in terms of facilities.","[{'term': 'locker rooms', 'polarity': 'neutral'}]","[{'category': 'facilities', 'polarity': 'neutral'}]"
41,"The weights at this gym is excellent, providing great equipment for everyone.","[{'term': 'weights', 'polarity': 'positive'}]","[{'category': 'equipment', 'polarity': 'positive'}]"
42,"The parking at this gym is excellent, providing great facilities for everyone.","[{'term': 'parking', 'polarity': 'positive'}]","[{'category': 'facilities', 'polarity': 'positive'}]"
43,"The gym atmosphere is poorly maintained, making the environment experience frustrating.","[{'term': 'gym atmosphere', 'polarity': 'negative'}]","[{'category': 'environment', 'polarity': 'negative'}]"
44,"The treadmills is poorly maintained, making the equipment experience frustrating.","[{'term': 'treadmills', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'negative'}]"
45,"The sanitation is poorly maintained, making the safety experience frustrating.","[{'term': 'sanitation', 'polarity': 'negative'}]","[{'category': 'safety', 'polarity': 'negative'}]"
46,"The locker rooms is okay, neither too good nor too bad in terms of facilities.","[{'term': 'locker rooms', 'polarity': 'neutral'}]","[{'category': 'facilities', 'polarity': 'neutral'}]"
47,"The staff is okay, neither too good nor too bad in terms of service.","[{'term': 'staff', 'polarity': 'neutral'}]","[{'category': 'service', 'polarity': 'neutral'}]"
48,"The lighting is poorly maintained, making the environment experience frustrating.","[{'term': 'lighting', 'polarity': 'negative'}]","[{'category': 'environment', 'polarity': 'negative'}]"
49,"The gym atmosphere is okay, neither too good nor too bad in terms of environment.","[{'term': 'gym atmosphere', 'polarity': 'neutral'}]","[{'category': 'environment', 'polarity': 'neutral'}]"
50,"The injury prevention at this gym is excellent, providing great safety for everyone.","[{'term': 'injury prevention', 'polarity': 'positive'}]","[{'category': 'safety', 'polarity': 'positive'}]"
51,"The membership is poorly maintained, making the service experience frustrating.","[{'term': 'membership', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'negative'}]"
52,"The air conditioning at this gym is excellent, providing great facilities for everyone.","[{'term': 'air conditioning', 'polarity': 'positive'}]","[{'category': 'facilities', 'polarity': 'positive'}]"
53,"The contract flexibility at this gym is excellent, providing great pricing for everyone.","[{'term': 'contract flexibility', 'polarity': 'positive'}]","[{'category': 'pricing', 'polarity': 'positive'}]"
54,"The injury prevention at this gym is excellent, providing great safety for everyone.","[{'term': 'injury prevention', 'polarity': 'positive'}]","[{'category': 'safety', 'polarity': 'positive'}]"
55,"The machine availability is poorly maintained, making the availability experience frustrating.","[{'term': 'machine availability', 'polarity': 'negative'}]","[{'category': 'availability', 'polarity': 'negative'}]"
56,"The class slots is poorly maintained, making the availability experience frustrating.","[{'term': 'class slots', 'polarity': 'negative'}]","[{'category': 'availability', 'polarity': 'negative'}]"
57,"The gym atmosphere is okay, neither too good nor too bad in terms of environment.","[{'term': 'gym atmosphere', 'polarity': 'neutral'}]","[{'category': 'environment', 'polarity': 'neutral'}]"
58,"The changing rooms is okay, neither too good nor too bad in terms of cleanliness.","[{'term': 'changing rooms', 'polarity': 'neutral'}]","[{'category': 'cleanliness', 'polarity': 'neutral'}]"
59,"The restrooms at this gym is excellent, providing great facilities for everyone.","[{'term': 'restrooms', 'polarity': 'positive'}]","[{'category': 'facilities', 'polarity': 'positive'}]"
60,"The lighting at this gym is excellent, providing great environment for everyone.","[{'term': 'lighting', 'polarity': 'positive'}]","[{'category': 'environment', 'polarity': 'positive'}]"
61,"The locker rooms at this gym is excellent, providing great facilities for everyone.","[{'term': 'locker rooms', 'polarity': 'positive'}]","[{'category': 'facilities', 'polarity': 'positive'}]"
62,"The injury prevention is okay, neither too good nor too bad in terms of safety.","[{'term': 'injury prevention', 'polarity': 'neutral'}]","[{'category': 'safety', 'polarity': 'neutral'}]"
63,"The benches is poorly maintained, making the equipment experience frustrating.","[{'term': 'benches', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'negative'}]"
64,"The background music at this gym is excellent, providing great environment for everyone.","[{'term': 'background music', 'polarity': 'positive'}]","[{'category': 'environment', 'polarity': 'positive'}]"
65,"The hidden fees is poorly maintained, making the pricing experience frustrating.","[{'term': 'hidden fees', 'polarity': 'negative'}]","[{'category': 'pricing', 'polarity': 'negative'}]"
66,"The equipment hygiene is poorly maintained, making the cleanliness experience frustrating.","[{'term': 'equipment hygiene', 'polarity': 'negative'}]","[{'category': 'cleanliness', 'polarity': 'negative'}]"
67,"The air conditioning is okay, neither too good nor too bad in terms of facilities.","[{'term': 'air conditioning', 'polarity': 'neutral'}]","[{'category': 'facilities', 'polarity': 'neutral'}]"
68,"The dumbbells is okay, neither too good nor too bad in terms of equipment.","[{'term': 'dumbbells', 'polarity': 'neutral'}]","[{'category': 'equipment', 'polarity': 'neutral'}]"
69,"The membership is poorly maintained, making the service experience frustrating.","[{'term': 'membership', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'negative'}]"
70,"The sanitation is poorly maintained, making the safety experience frustrating.","[{'term': 'sanitation', 'polarity': 'negative'}]","[{'category': 'safety', 'polarity': 'negative'}]"
71,"The security is poorly maintained, making the safety experience frustrating.","[{'term': 'security', 'polarity': 'negative'}]","[{'category': 'safety', 'polarity': 'negative'}]"
72,"The lighting is poorly maintained, making the environment experience frustrating.","[{'term': 'lighting', 'polarity': 'negative'}]","[{'category': 'environment', 'polarity': 'negative'}]"
73,"The sanitation is poorly maintained, making the safety experience frustrating.","[{'term': 'sanitation', 'polarity': 'negative'}]","[{'category': 'safety', 'polarity': 'negative'}]"
74,"The dumbbells is poorly maintained, making the equipment experience frustrating.","[{'term': 'dumbbells', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'negative'}]"
75,"The restrooms at this gym is excellent, providing great facilities for everyone.","[{'term': 'restrooms', 'polarity': 'positive'}]","[{'category': 'facilities', 'polarity': 'positive'}]"
76,"The trainers is okay, neither too good nor too bad in terms of service.","[{'term': 'trainers', 'polarity': 'neutral'}]","[{'category': 'service', 'polarity': 'neutral'}]"
77,"The machine availability is okay, neither too good nor too bad in terms of availability.","[{'term': 'machine availability', 'polarity': 'neutral'}]","[{'category': 'availability', 'polarity': 'neutral'}]"
78,"The weights is poorly maintained, making the equipment experience frustrating.","[{'term': 'weights', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'negative'}]"
79,"The class slots is okay, neither too good nor too bad in terms of availability.","[{'term': 'class slots', 'polarity': 'neutral'}]","[{'category': 'availability', 'polarity': 'neutral'}]"
80,"The equipment hygiene at this gym is excellent, providing great cleanliness for everyone.","[{'term': 'equipment hygiene', 'polarity': 'positive'}]","[{'category': 'cleanliness', 'polarity': 'positive'}]"
81,"The contract flexibility at this gym is excellent, providing great pricing for everyone.","[{'term': 'contract flexibility', 'polarity': 'positive'}]","[{'category': 'pricing', 'polarity': 'positive'}]"
82,"The machine availability is poorly maintained, making the availability experience frustrating.","[{'term': 'machine availability', 'polarity': 'negative'}]","[{'category': 'availability', 'polarity': 'negative'}]"
83,"The membership cost is poorly maintained, making the pricing experience frustrating.","[{'term': 'membership cost', 'polarity': 'negative'}]","[{'category': 'pricing', 'polarity': 'negative'}]"
84,"The showers at this gym is excellent, providing great facilities for everyone.","[{'term': 'showers', 'polarity': 'positive'}]","[{'category': 'facilities', 'polarity': 'positive'}]"
85,"The contract flexibility at this gym is excellent, providing great pricing for everyone.","[{'term': 'contract flexibility', 'polarity': 'positive'}]","[{'category': 'pricing', 'polarity': 'positive'}]"
86,"The gym floor at this gym is excellent, providing great cleanliness for everyone.","[{'term': 'gym floor', 'polarity': 'positive'}]","[{'category': 'cleanliness', 'polarity': 'positive'}]"
87,"The sanitation is poorly maintained, making the safety experience frustrating.","[{'term': 'sanitation', 'polarity': 'negative'}]","[{'category': 'safety', 'polarity': 'negative'}]"
88,"The locker rooms at this gym is excellent, providing great facilities for everyone.","[{'term': 'locker rooms', 'polarity': 'positive'}]","[{'category': 'facilities', 'polarity': 'positive'}]"
89,"The gym floor is poorly maintained, making the cleanliness experience frustrating.","[{'term': 'gym floor', 'polarity': 'negative'}]","[{'category': 'cleanliness', 'polarity': 'negative'}]"
90,"The injury prevention is poorly maintained, making the safety experience frustrating.","[{'term': 'injury prevention', 'polarity': 'negative'}]","[{'category': 'safety', 'polarity': 'negative'}]"
91,"The membership is okay, neither too good nor too bad in terms of service.","[{'term': 'membership', 'polarity': 'neutral'}]","[{'category': 'service', 'polarity': 'neutral'}]"
92,"The security is poorly maintained, making the safety experience frustrating.","[{'term': 'security', 'polarity': 'negative'}]","[{'category': 'safety', 'polarity': 'negative'}]"
93,"The membership is poorly maintained, making the service experience frustrating.","[{'term': 'membership', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'negative'}]"
94,"The staff at this gym is excellent, providing great service for everyone.","[{'term': 'staff', 'polarity': 'positive'}]","[{'category': 'service', 'polarity': 'positive'}]"
95,"The weights at this gym is excellent, providing great equipment for everyone.","[{'term': 'weights', 'polarity': 'positive'}]","[{'category': 'equipment', 'polarity': 'positive'}]"
96,"The hidden fees at this gym is excellent, providing great pricing for everyone.","[{'term': 'hidden fees', 'polarity': 'positive'}]","[{'category': 'pricing', 'polarity': 'positive'}]"
97,"The restrooms is okay, neither too good nor too bad in terms of facilities.","[{'term': 'restrooms', 'polarity': 'neutral'}]","[{'category': 'facilities', 'polarity': 'neutral'}]"
98,"The sanitation is poorly maintained, making the safety experience frustrating.","[{'term': 'sanitation', 'polarity': 'negative'}]","[{'category': 'safety', 'polarity': 'negative'}]"
99,"The injury prevention at this gym is excellent, providing great safety for everyone.","[{'term': 'injury prevention', 'polarity': 'positive'}]","[{'category': 'safety', 'polarity': 'positive'}]"
100,"The equipment hygiene is poorly maintained, making the cleanliness experience frustrating.","[{'term': 'equipment hygiene', 'polarity': 'negative'}]","[{'category': 'cleanliness', 'polarity': 'negative'}]"
101,"The treadmills are smooth, but the ellipticals make a strange noise, which is distracting.","[{'term': 'treadmills', 'polarity': 'positive'}, {'term': 'ellipticals', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'mixed'}]"
102,"The gym is well-lit, but the mirrors are often dirty, making it hard to check form.","[{'term': 'lighting', 'polarity': 'positive'}, {'term': 'mirrors', 'polarity': 'negative'}]","[{'category': 'environment', 'polarity': 'mixed'}, {'category': 'cleanliness', 'polarity': 'negative'}]"
103,"The trainers are friendly and skilled, but the front desk staff often seems unhelpful.","[{'term': 'trainers', 'polarity': 'positive'}, {'term': 'front desk staff', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'mixed'}]"
104,"The gym has excellent workout classes, but the sign-up process is confusing and inconvenient.","[{'term': 'workout classes', 'polarity': 'positive'}, {'term': 'sign-up process', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'mixed'}]"
105,"The dumbbells are well-maintained, but there are not enough of them during peak hours.","[{'term': 'dumbbells', 'polarity': 'positive'}, {'term': 'availability', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'mixed'}, {'category': 'availability', 'polarity': 'negative'}]"
106,"The showers are spacious, but the water pressure is too low and takes forever to rinse off.","[{'term': 'showers', 'polarity': 'positive'}, {'term': 'water pressure', 'polarity': 'negative'}]","[{'category': 'facilities', 'polarity': 'mixed'}]"
107,The air conditioning works well in the weightlifting area but is almost nonexistent near the cardio machines.,"[{'term': 'air conditioning', 'polarity': 'mixed'}, {'term': 'cardio machines', 'polarity': 'negative'}]","[{'category': 'facilities', 'polarity': 'mixed'}]"
108,"The gym has a great selection of machines, but they are placed too close together, making movement difficult.","[{'term': 'machine selection', 'polarity': 'positive'}, {'term': 'spacing', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'mixed'}, {'category': 'space', 'polarity': 'negative'}]"
109,"The sauna is a great addition, but it is often overcrowded and not cleaned frequently enough.","[{'term': 'sauna', 'polarity': 'positive'}, {'term': 'cleaning frequency', 'polarity': 'negative'}]","[{'category': 'facilities', 'polarity': 'mixed'}, {'category': 'cleanliness', 'polarity': 'negative'}]"
110,"The gym's WiFi is fast and reliable, but the mobile app crashes too often when booking a class.","[{'term': 'WiFi', 'polarity': 'positive'}, {'term': 'mobile app', 'polarity': 'negative'}]","[{'category': 'technology', 'polarity': 'mixed'}]"
111,"The cryotherapy chamber is a game-changer for muscle recovery, though sessions book up weeks in advance.","[{'term': 'cryotherapy chamber', 'polarity': 'positive'}]","[{'category': 'recovery_facilities', 'polarity': 'positive'}]"
112,Hydraulic resistance machines adapt perfectly to my mobility issues no more joint pain!,"[{'term': 'hydraulic machines', 'polarity': 'positive'}]","[{'category': 'equipment', 'polarity': 'positive'}]"
113,"The gym's app crashes mid-workout, erasing my progress tracking. Infuriating!","[{'term': 'gym app', 'polarity': 'negative'}]","[{'category': 'digital_integration', 'polarity': 'negative'}]"
114,"Solar-powered showers are genius, but water pressure drops during peak hours.","[{'term': 'solar-powered showers', 'polarity': 'positive'}]","[{'category': 'sustainability', 'polarity': 'positive'}]"
115,Members hog benches for 30+ minutes while scrolling Instagramâ€”zero etiquette enforcement.,"[{'term': 'member etiquette', 'polarity': 'negative'}]","[{'category': 'community', 'polarity': 'negative'}]"
116,Biometric scanners at the entrance eliminate check-in linesâ€”sleek and efficient.,"[{'term': 'biometric scanners', 'polarity': 'positive'}]","[{'category': 'technology', 'polarity': 'positive'}]"
117,Overpriced protein bars in the café taste like cardboard. Bring your own snacks.,"[{'term': 'café pricing', 'polarity': 'negative'}]","[{'category': 'pricing', 'polarity': 'negative'}]"
118,Free mobility workshops taught by physiotherapists have transformed my flexibility.,"[{'term': 'mobility workshops', 'polarity': 'positive'}]","[{'category': 'education', 'polarity': 'positive'}]"
119,"VR cycling classes are immersive, but headsets cause motion sickness for some.","[{'term': 'VR classes', 'polarity': 'mixed'}]","[{'category': 'class_offerings', 'polarity': 'mixed'}]"
120,Floor traction near the pool is dangerously slippery accident waiting to happen.,"[{'term': 'floor traction', 'polarity': 'negative'}]","[{'category': 'safety', 'polarity': 'negative'}]"
121,The gym's air quality system uses HEPA filters no more stuffy workouts.,"[{'term': 'air quality system', 'polarity': 'positive'}]","[{'category': 'facilities', 'polarity': 'positive'}]"
122,"Towel service costs extra now, which feels nickel-and-diming.","[{'term': 'towel service', 'polarity': 'negative'}]","[{'category': 'pricing', 'polarity': 'negative'}]"
123,Olympic lifting platforms are pristine and never overcrowded powerlifter approved!,"[{'term': 'Olympic platforms', 'polarity': 'positive'}]","[{'category': 'equipment', 'polarity': 'positive'}]"
124,The percussion massagers in the recovery lounge are worth the membership alone.,"[{'term': 'percussion massagers', 'polarity': 'positive'}]","[{'category': 'recovery_facilities', 'polarity': 'positive'}]"
125,Staff ignore blatant equipment hoarding no accountability here.,"[{'term': 'equipment hoarding', 'polarity': 'negative'}]","[{'category': 'member_etiquette', 'polarity': 'negative'}]"
126,Live DJ weekends create an electric vibe that motivates intense sessions.,"[{'term': 'live DJ', 'polarity': 'positive'}]","[{'category': 'atmosphere', 'polarity': 'positive'}]"
127,Eco-friendly cleaning products leave a fresh scent without chemical harshness.,"[{'term': 'eco-friendly products', 'polarity': 'positive'}]","[{'category': 'sustainability', 'polarity': 'positive'}]"
128,"Kettlebell racks are mislabeled, leading to constant confusion.","[{'term': 'kettlebell racks', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'negative'}]"
129,The member-exclusive app's wearable sync fails 50% of the time.,"[{'term': 'wearable sync', 'polarity': 'negative'}]","[{'category': 'digital_integration', 'polarity': 'negative'}]"
130,Posture correction clinics with chiropractors are a hidden gem here.,"[{'term': 'posture clinics', 'polarity': 'positive'}]","[{'category': 'education', 'polarity': 'positive'}]"
131,Battle ropes are fraying at the ends needs replacement ASAP.,"[{'term': 'battle ropes', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'negative'}]"
132,The 24/7 accessibility makes it perfect for night owls like me.,"[{'term': '24/7 accessibility', 'polarity': 'positive'}]","[{'category': 'availability', 'polarity': 'positive'}]"
133,Frequent member challenges foster a supportive community spirit.,"[{'term': 'member challenges', 'polarity': 'positive'}]","[{'category': 'community', 'polarity': 'positive'}]"
134,The gym's Wi-Fi is slower than dial-up can't stream workout videos.,"[{'term': 'Wi-Fi speed', 'polarity': 'negative'}]","[{'category': 'technology', 'polarity': 'negative'}]"
135,Vibration plates are a fun add-on for activating muscles pre-lift.,"[{'term': 'vibration plates', 'polarity': 'positive'}]","[{'category': 'equipment', 'polarity': 'positive'}]"
136,"Childcare services close at 7 PM, excluding evening class parents.","[{'term': 'childcare hours', 'polarity': 'negative'}]","[{'category': 'services', 'polarity': 'negative'}]"
137,Infrared saunas are relaxing but limited to 15-minute slots.,"[{'term': 'infrared saunas', 'polarity': 'mixed'}]","[{'category': 'recovery_facilities', 'polarity': 'mixed'}]"
138,Monthly membership tiers are confusing and overly granular.,"[{'term': 'membership tiers', 'polarity': 'negative'}]","[{'category': 'pricing', 'polarity': 'negative'}]"
139,The gym's Instagram showcases classes they discontinued months ago.,"[{'term': 'class transparency', 'polarity': 'negative'}]","[{'category': 'marketing', 'polarity': 'negative'}]"
140,Dynamic lighting adjusts to your workout intensity truly futuristic.,"[{'term': 'dynamic lighting', 'polarity': 'positive'}]","[{'category': 'atmosphere', 'polarity': 'positive'}]"
141,"The treadmills are always in excellent condition, and I never had an issue with them.","[{'term': 'treadmills', 'polarity': 'positive'}]","[{'category': 'equipment', 'polarity': 'positive'}]"
142,"The locker rooms are not well-maintained, and they often have an unpleasant smell.","[{'term': 'locker rooms', 'polarity': 'negative'}]","[{'category': 'cleanliness', 'polarity': 'negative'}]"
143,The trainers here are very knowledgeable and help with proper form.,"[{'term': 'trainers', 'polarity': 'positive'}]","[{'category': 'service', 'polarity': 'positive'}]"
144,"The gym is often too crowded in the evenings, making it hard to get a machine.","[{'term': 'crowded', 'polarity': 'negative'}]","[{'category': 'availability', 'polarity': 'negative'}]"
145,"The air conditioning is too weak, and it gets really hot during workouts.","[{'term': 'air conditioning', 'polarity': 'negative'}]","[{'category': 'facilities', 'polarity': 'negative'}]"
146,"The dumbbells are always disorganized, making it difficult to find the right weight.","[{'term': 'dumbbells', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'negative'}]"
147,"The gym floor is very spacious, allowing plenty of room for stretching and bodyweight exercises.","[{'term': 'gym floor', 'polarity': 'positive'}]","[{'category': 'space', 'polarity': 'positive'}]"
148,"The personal trainers are too pushy about their paid sessions, which feels uncomfortable.","[{'term': 'personal trainers', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'negative'}]"
149,"The cleanliness of the showers needs improvement, as they are often wet and slippery.","[{'term': 'showers', 'polarity': 'negative'}]","[{'category': 'cleanliness', 'polarity': 'negative'}]"
150,The gym's background music is too loud and makes it hard to focus.,"[{'term': 'background music', 'polarity': 'negative'}]","[{'category': 'environment', 'polarity': 'negative'}]"
151,"The treadmills are top-notch with built-in Netflix, but the locker rooms reek of mildew, and staff ignore cleaning requests.","[{'term': 'treadmills', 'polarity': 'positive'}, {'term': 'locker rooms', 'polarity': 'negative'}, {'term': 'staff', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'positive'}, {'category': 'cleanliness', 'polarity': 'negative'}, {'category': 'service', 'polarity': 'negative'}]"
152,"Fantastic 24/7 access and affordable group classes, though the Wi-Fi is unusable and kettlebells are often misplaced.","[{'term': '24/7 access', 'polarity': 'positive'}, {'term': 'group classes', 'polarity': 'positive'}, {'term': 'Wi-Fi', 'polarity': 'negative'}, {'term': 'kettlebells', 'polarity': 'negative'}]","[{'category': 'availability', 'polarity': 'positive'}, {'category': 'pricing', 'polarity': 'positive'}, {'category': 'technology', 'polarity': 'negative'}, {'category': 'equipment', 'polarity': 'negative'}]"
153,"Loved the battle ropes and turf zone, but the floor mats are frayed, and the app double-charged me for a smoothie.","[{'term': 'battle ropes', 'polarity': 'positive'}, {'term': 'turf zone', 'polarity': 'positive'}, {'term': 'floor mats', 'polarity': 'negative'}, {'term': 'app billing', 'polarity': 'negative'}]","[{'category': 'equipment', 'polarity': 'positive'}, {'category': 'safety', 'polarity': 'negative'}, {'category': 'digital_integration', 'polarity': 'negative'}]"
154,"The air conditioning broke mid-summer, the deadlift platform wobbles dangerously, but the free mobility workshops are lifesavers.","[{'term': 'air conditioning', 'polarity': 'negative'}, {'term': 'deadlift platform', 'polarity': 'negative'}, {'term': 'mobility workshops', 'polarity': 'positive'}]","[{'category': 'facilities', 'polarity': 'negative'}, {'category': 'safety', 'polarity': 'negative'}, {'category': 'education', 'polarity': 'positive'}]"
155,"Eco-friendly disinfectants and solar-heated pools are amazing, yet the yoga studio's sound system crackles and towels cost extra.","[{'term': 'disinfectants', 'polarity': 'positive'}, {'term': 'solar-heated pools', 'polarity': 'positive'}, {'term': 'sound system', 'polarity': 'negative'}, {'term': 'towel fees', 'polarity': 'negative'}]","[{'category': 'sustainability', 'polarity': 'positive'}, {'category': 'facilities', 'polarity': 'positive'}, {'category': 'technology', 'polarity': 'negative'}, {'category': 'pricing', 'polarity': 'negative'}]"
156,"The VR cycling class gave me motion sickness, but the post-workout cryotherapy and protein smoothie bar redeemed the experience.","[{'term': 'VR cycling', 'polarity': 'negative'}, {'term': 'cryotherapy', 'polarity': 'positive'}, {'term': 'smoothie bar', 'polarity': 'positive'}]","[{'category': 'class_offerings', 'polarity': 'negative'}, {'category': 'recovery', 'polarity': 'positive'}, {'category': 'amenities', 'polarity': 'positive'}]"
